date,price
2022-04-06,44707.25
2022-04-07,44284.98
2022-04-08,43862.56
2022-04-09,43440.04
2022-04-10,43017.49
2022-04-11,42594.98
2022-04-12,42172.57
2022-04-13,41750.33
2022-04-14,41328.33
2022-04-15,40906.64
2022-04-16,40485.31
2022-04-17,40064.42
2022-04-18,39644.04
2022-04-19,39224.22
2022-04-20,38805.05
2022-04-21,38386.57
2022-04-22,37968.87
2022-04-23,37552.0
2022-04-24,37136.04
2022-04-25,36721.05
2022-04-26,36307.09
2022-04-27,35894.24
2022-04-28,35482.56
2022-04-29,35072.12
2022-04-30,34662.98
2022-05-01,34255.21
2022-05-02,33848.87
2022-05-03,33444.04
2022-05-04,33040.78
2022-05-05,32639.16
2022-05-06,32239.24
2022-05-07,31841.09
2022-05-08,31444.78
2022-05-09,31050.37
2022-05-10,30657.93
2022-05-11,30267.53
2022-05-12,29879.23
2022-05-13,29493.1
2022-05-14,29109.21
2022-05-15,28727.62
2022-05-16,28348.4
2022-05-17,27971.62
2022-05-18,27597.34
2022-05-19,27225.63
2022-05-20,26856.56
2022-05-21,26490.19
2022-05-22,26126.59
2022-05-23,25765.83
2022-05-24,25407.97
2022-05-25,25053.08
2022-05-26,24701.23
2022-05-27,24352.48
2022-05-28,24006.9
2022-05-29,23664.56
2022-05-30,23325.52
2022-05-31,22989.85
2022-06-01,22657.62
2022-06-02,22328.88
2022-06-03,22003.72
2022-06-04,21682.2
2022-06-05,21364.38
2022-06-06,21050.33
2022-06-07,20740.11
2022-06-08,20433.8
2022-06-09,20131.46
2022-06-10,19833.15
2022-06-11,19538.94
2022-06-12,19248.91
2022-06-13,18963.11
2022-06-14,18681.62
2022-06-15,18404.49
2022-06-16,18131.8
2022-06-17,17863.62
2022-06-18,17600.0
2022-06-19,17341.0
2022-06-20,17086.61
2022-06-21,16836.79
2022-06-22,16591.52
2022-06-23,16350.75
2022-06-24,16114.47
2022-06-25,15882.64
2022-06-26,15655.23
2022-06-27,15432.2
2022-06-28,15213.53
2022-06-29,14999.19
2022-06-30,14789.14
2022-07-01,14583.35
2022-07-02,14381.8
2022-07-03,14184.44
2022-07-04,13991.26
2022-07-05,13802.22
2022-07-06,13617.28
2022-07-07,13436.42
2022-07-08,13259.61
2022-07-09,13086.81
2022-07-10,12918.0
2022-07-11,12753.14
2022-07-12,12592.2
2022-07-13,12435.15
2022-07-14,12281.96
2022-07-15,12132.6
2022-07-16,11987.03
2022-07-17,11845.23
2022-07-18,11707.17
2022-07-19,11572.81
2022-07-20,11442.13
2022-07-21,11315.09
2022-07-22,11191.65
2022-07-23,11071.8
2022-07-24,10955.5
2022-07-25,10842.71
2022-07-26,10733.41
2022-07-27,10627.57
2022-07-28,10525.15
2022-07-29,10426.13
2022-07-30,10330.47
2022-07-31,10238.14
2022-08-01,10149.11
2022-08-02,10063.34
2022-08-03,9980.82
2022-08-04,9901.5
2022-08-05,9825.37
2022-08-06,9752.37
2022-08-07,9682.49
2022-08-08,9615.69
2022-08-09,9551.95
2022-08-10,9491.22
2022-08-11,9433.48
2022-08-12,9378.71
2022-08-13,9326.86
2022-08-14,9277.9
2022-08-15,9231.82
2022-08-16,9188.56
2022-08-17,9148.11
2022-08-18,9110.44
2022-08-19,9075.5
2022-08-20,9043.27
2022-08-21,9013.73
2022-08-22,8986.83
2022-08-23,8962.55
2022-08-24,8940.85
2022-08-25,8921.71
2022-08-26,8905.09
2022-08-27,8890.96
2022-08-28,8879.3
2022-08-29,8870.07
2022-08-30,8863.23
2022-08-31,8858.77
2022-09-01,8856.64
2022-09-02,8856.82
2022-09-03,8859.27
2022-09-04,8863.97
2022-09-05,8870.88
2022-09-06,8879.97
2022-09-07,8891.21
2022-09-08,8904.58
2022-09-09,8920.03
2022-09-10,8937.54
2022-09-11,8957.08
2022-09-12,8978.61
2022-09-13,9002.11
2022-09-14,9027.54
2022-09-15,9054.87
2022-09-16,9084.07
2022-09-17,9115.12
2022-09-18,9147.97
2022-09-19,9182.6
2022-09-20,9218.98
2022-09-21,9257.08
2022-09-22,9296.86
2022-09-23,9338.29
2022-09-24,9381.35
2022-09-25,9426.0
2022-09-26,9472.2
2022-09-27,9519.94
2022-09-28,9569.18
2022-09-29,9619.88
2022-09-30,9672.03
2022-10-01,9725.57
2022-10-02,9780.49
2022-10-03,9836.76
2022-10-04,9894.33
2022-10-05,9953.19
2022-10-06,10013.3
2022-10-07,10074.63
2022-10-08,10137.14
2022-10-09,10200.81
2022-10-10,10265.61
2022-10-11,10331.5
2022-10-12,10398.46
2022-10-13,10466.44
2022-10-14,10535.43
2022-10-15,10605.39
2022-10-16,10676.29
2022-10-17,10748.1
2022-10-18,10820.79
2022-10-19,10894.32
2022-10-20,10968.66
2022-10-21,11043.79
2022-10-22,11119.68
2022-10-23,11196.28
2022-10-24,11273.58
2022-10-25,11351.54
2022-10-26,11430.12
2022-10-27,11509.3
2022-10-28,11589.05
2022-10-29,11669.34
2022-10-30,11750.13
2022-10-31,11831.39
2022-11-01,11913.1
2022-11-02,11995.21
2022-11-03,12077.71
2022-11-04,12160.55
2022-11-05,12243.72
2022-11-06,12327.17
2022-11-07,12410.88
2022-11-08,12494.81
2022-11-09,12578.93
2022-11-10,12663.22
2022-11-11,12747.64
2022-11-12,12832.16
2022-11-13,12916.75
2022-11-14,13001.38
2022-11-15,13086.02
2022-11-16,13170.63
2022-11-17,13255.19
2022-11-18,13339.66
2022-11-19,13424.02
2022-11-20,13508.23
2022-11-21,13592.25
2022-11-22,13676.07
2022-11-23,13759.65
2022-11-24,13842.96
2022-11-25,13925.96
2022-11-26,14008.63
2022-11-27,14090.93
2022-11-28,14172.84
2022-11-29,14254.32
2022-11-30,14335.34
2022-12-01,14415.87
2022-12-02,14495.88
2022-12-03,14575.34
2022-12-04,14654.21
2022-12-05,14732.47
2022-12-06,14810.09
2022-12-07,14887.03
2022-12-08,14963.27
2022-12-09,15038.76
2022-12-10,15113.49
2022-12-11,15187.41
2022-12-12,15260.51
2022-12-13,15332.74
2022-12-14,15404.08
2022-12-15,15474.5
2022-12-16,15543.96
2022-12-17,15612.43
2022-12-18,15679.88
2022-12-19,15746.29
2022-12-20,15811.62
2022-12-21,15875.83
2022-12-22,15938.91
2022-12-23,16000.81
2022-12-24,16061.5
2022-12-25,16120.96
2022-12-26,16179.16
2022-12-27,16236.06
2022-12-28,16291.63
2022-12-29,16345.84
2022-12-30,16398.66
2022-12-31,16450.05
2023-01-01,16500.0
2023-01-02,16548.47
2023-01-03,16595.47
2023-01-04,16641.01
2023-01-05,16685.12
2023-01-06,16727.79
2023-01-07,16769.06
2023-01-08,16808.92
2023-01-09,16847.4
2023-01-10,16884.51
2023-01-11,16920.26
2023-01-12,16954.67
2023-01-13,16987.76
2023-01-14,17019.52
2023-01-15,17049.99
2023-01-16,17079.18
2023-01-17,17107.09
2023-01-18,17133.74
2023-01-19,17159.15
2023-01-20,17183.33
2023-01-21,17206.3
2023-01-22,17228.07
2023-01-23,17248.65
2023-01-24,17268.05
2023-01-25,17286.3
2023-01-26,17303.4
2023-01-27,17319.38
2023-01-28,17334.24
2023-01-29,17347.99
2023-01-30,17360.66
2023-01-31,17372.26
2023-02-01,17382.79
2023-02-02,17392.28
2023-02-03,17400.74
2023-02-04,17408.18
2023-02-05,17414.62
2023-02-06,17420.07
2023-02-07,17424.55
2023-02-08,17428.06
2023-02-09,17430.63
2023-02-10,17432.27
2023-02-11,17432.99
2023-02-12,17432.8
2023-02-13,17431.73
2023-02-14,17429.78
2023-02-15,17426.97
2023-02-16,17423.31
2023-02-17,17418.82
2023-02-18,17413.51
2023-02-19,17407.39
2023-02-20,17400.48
2023-02-21,17392.8
2023-02-22,17384.36
2023-02-23,17375.16
2023-02-24,17365.23
2023-02-25,17354.59
2023-02-26,17343.23
2023-02-27,17331.19
2023-02-28,17318.46
2023-03-01,17305.08
2023-03-02,17291.04
2023-03-03,17276.37
2023-03-04,17261.08
2023-03-05,17245.18
2023-03-06,17228.69
2023-03-07,17211.62
2023-03-08,17193.98
2023-03-09,17175.8
2023-03-10,17157.08
2023-03-11,17137.84
2023-03-12,17118.08
2023-03-13,17097.84
2023-03-14,17077.12
2023-03-15,17055.93
2023-03-16,17034.29
2023-03-17,17012.21
2023-03-18,16989.71
2023-03-19,16966.8
2023-03-20,16943.49
2023-03-21,16919.81
2023-03-22,16895.75
2023-03-23,16871.35
2023-03-24,16846.61
2023-03-25,16821.54
2023-03-26,16796.16
2023-03-27,16770.49
2023-03-28,16744.54
2023-03-29,16718.32
2023-03-30,16691.84
2023-03-31,16665.13
2023-04-01,16638.19
2023-04-02,16611.04
2023-04-03,16583.69
2023-04-04,16556.17
2023-04-05,16528.47
2023-04-06,16500.62
2023-04-07,16472.62
2023-04-08,16444.51
2023-04-09,16416.28
2023-04-10,16387.95
2023-04-11,16359.54
2023-04-12,16331.06
2023-04-13,16302.52
2023-04-14,16273.94
2023-04-15,16245.34
2023-04-16,16216.72
2023-04-17,16188.11
2023-04-18,16159.5
2023-04-19,16130.93
2023-04-20,16102.41
2023-04-21,16073.94
2023-04-22,16045.54
2023-04-23,16017.23
2023-04-24,15989.01
2023-04-25,15960.92
2023-04-26,15932.95
2023-04-27,15905.12
2023-04-28,15877.45
2023-04-29,15849.96
2023-04-30,15822.64
2023-05-01,15795.53
2023-05-02,15768.63
2023-05-03,15741.95
2023-05-04,15715.52
2023-05-05,15689.35
2023-05-06,15663.44
2023-05-07,15637.82
2023-05-08,15612.5
2023-05-09,15587.49
2023-05-10,15562.8
2023-05-11,15538.46
2023-05-12,15514.47
2023-05-13,15490.85
2023-05-14,15467.61
2023-05-15,15444.77
2023-05-16,15422.34
2023-05-17,15400.34
2023-05-18,15378.77
2023-05-19,15357.66
2023-05-20,15337.02
2023-05-21,15316.86
2023-05-22,15297.2
2023-05-23,15278.04
2023-05-24,15259.42
2023-05-25,15241.33
2023-05-26,15223.79
2023-05-27,15206.82
2023-05-28,15190.43
2023-05-29,15174.63
2023-05-30,15159.45
2023-05-31,15144.89
2023-06-01,15130.96
2023-06-02,15117.69
2023-06-03,15105.08
2023-06-04,15093.16
2023-06-05,15081.92
2023-06-06,15071.4
2023-06-07,15061.6
2023-06-08,15052.53
2023-06-09,15044.22
2023-06-10,15036.67
2023-06-11,15029.9
2023-06-12,15023.92
2023-06-13,15018.75
2023-06-14,15014.41
2023-06-15,15010.89
2023-06-16,15008.23
2023-06-17,15006.43
2023-06-18,15005.51
2023-06-19,15005.48
2023-06-20,15006.36
2023-06-21,15008.16
2023-06-22,15010.89
2023-06-23,15014.57
2023-06-24,15019.22
2023-06-25,15024.84
2023-06-26,15031.45
2023-06-27,15039.07
2023-06-28,15047.7
2023-06-29,15057.37
2023-06-30,15068.09
2023-07-01,15079.87
2023-07-02,15092.73
2023-07-03,15106.68
2023-07-04,15121.73
2023-07-05,15137.9
2023-07-06,15155.2
2023-07-07,15173.65
2023-07-08,15193.26
2023-07-09,15214.04
2023-07-10,15236.01
2023-07-11,15259.19
2023-07-12,15283.58
2023-07-13,15309.21
2023-07-14,15336.08
2023-07-15,15364.21
2023-07-16,15393.62
2023-07-17,15424.31
2023-07-18,15456.31
2023-07-19,15489.62
2023-07-20,15524.26
2023-07-21,15560.25
2023-07-22,15597.59
2023-07-23,15636.31
2023-07-24,15676.42
2023-07-25,15717.93
2023-07-26,15760.85
2023-07-27,15805.2
2023-07-28,15851.0
2023-07-29,15898.25
2023-07-30,15946.98
2023-07-31,15997.19
2023-08-01,16048.9
2023-08-02,16102.13
2023-08-03,16156.89
2023-08-04,16213.18
2023-08-05,16271.04
2023-08-06,16330.46
2023-08-07,16391.47
2023-08-08,16454.09
2023-08-09,16518.31
2023-08-10,16584.16
2023-08-11,16651.65
2023-08-12,16720.8
2023-08-13,16791.62
2023-08-14,16864.12
2023-08-15,16938.32
2023-08-16,17014.24
2023-08-17,17091.88
2023-08-18,17171.26
2023-08-19,17252.39
2023-08-20,17335.3
2023-08-21,17419.98
2023-08-22,17506.47
2023-08-23,17594.77
2023-08-24,17684.89
2023-08-25,17776.85
2023-08-26,17870.66
2023-08-27,17966.35
2023-08-28,18063.91
2023-08-29,18163.37
2023-08-30,18264.74
2023-08-31,18368.04
2023-09-01,18473.27
2023-09-02,18580.46
2023-09-03,18689.62
2023-09-04,18800.75
2023-09-05,18913.88
2023-09-06,19029.02
2023-09-07,19146.19
2023-09-08,19265.39
2023-09-09,19386.64
2023-09-10,19509.96
2023-09-11,19635.36
2023-09-12,19762.85
2023-09-13,19892.46
2023-09-14,20024.18
2023-09-15,20158.04
2023-09-16,20294.05
2023-09-17,20432.23
2023-09-18,20572.59
2023-09-19,20715.13
2023-09-20,20859.89
2023-09-21,21006.87
2023-09-22,21156.08
2023-09-23,21307.55
2023-09-24,21461.27
2023-09-25,21617.28
2023-09-26,21775.58
2023-09-27,21936.18
2023-09-28,22099.1
2023-09-29,22264.36
2023-09-30,22431.97
2023-10-01,22601.94
2023-10-02,22774.29
2023-10-03,22949.03
2023-10-04,23126.17
2023-10-05,23305.73
2023-10-06,23487.73
2023-10-07,23672.18
2023-10-08,23859.08
2023-10-09,24048.47
2023-10-10,24240.34
2023-10-11,24434.72
2023-10-12,24631.61
2023-10-13,24831.04
2023-10-14,25033.02
2023-10-15,25237.55
2023-10-16,25444.66
2023-10-17,25654.37
2023-10-18,25866.67
2023-10-19,26081.59
2023-10-20,26299.14
2023-10-21,26519.34
2023-10-22,26742.2
2023-10-23,26967.73
2023-10-24,27195.95
2023-10-25,27426.88
2023-10-26,27660.52
2023-10-27,27896.89
2023-10-28,28136.0
2023-10-29,28377.87
2023-10-30,28622.52
2023-10-31,28869.96
2023-11-01,29120.19
2023-11-02,29373.24
2023-11-03,29629.12
2023-11-04,29887.85
2023-11-05,30149.43
2023-11-06,30413.88
2023-11-07,30681.22
2023-11-08,30951.46
2023-11-09,31224.62
2023-11-10,31500.7
2023-11-11,31779.73
2023-11-12,32061.71
2023-11-13,32346.66
2023-11-14,32634.6
2023-11-15,32925.54
2023-11-16,33219.49
2023-11-17,33516.47
2023-11-18,33816.49
2023-11-19,34119.57
2023-11-20,34425.72
2023-11-21,34734.95
2023-11-22,35047.28
2023-11-23,35362.72
2023-11-24,35681.29
2023-11-25,36003.0
2023-11-26,36327.86
2023-11-27,36655.89
2023-11-28,36987.11
2023-11-29,37321.52
2023-11-30,37659.15
2023-12-01,38000.0
2023-12-02,38344.07
2023-12-03,38691.29
2023-12-04,39041.55
2023-12-05,39394.76
2023-12-06,39750.82
2023-12-07,40109.64
2023-12-08,40471.12
2023-12-09,40835.16
2023-12-10,41201.67
2023-12-11,41570.54
2023-12-12,41941.69
2023-12-13,42315.01
2023-12-14,42690.42
2023-12-15,43067.8
2023-12-16,43447.07
2023-12-17,43828.13
2023-12-18,44210.88
2023-12-19,44595.22
2023-12-20,44981.07
2023-12-21,45368.31
2023-12-22,45756.86
2023-12-23,46146.62
2023-12-24,46537.49
2023-12-25,46929.37
2023-12-26,47322.17
2023-12-27,47715.8
2023-12-28,48110.15
2023-12-29,48505.12
2023-12-30,48900.63
2023-12-31,49296.57
2024-01-01,49692.84
2024-01-02,50089.36
2024-01-03,50486.03
2024-01-04,50882.73
2024-01-05,51279.39
2024-01-06,51675.91
2024-01-07,52072.18
2024-01-08,52468.11
2024-01-09,52863.6
2024-01-10,53258.57
2024-01-11,53652.9
2024-01-12,54046.5
2024-01-13,54439.28
2024-01-14,54831.14
2024-01-15,55221.99
2024-01-16,55611.72
2024-01-17,56000.24
2024-01-18,56387.45
2024-01-19,56773.26
2024-01-20,57157.57
2024-01-21,57540.28
2024-01-22,57921.29
2024-01-23,58300.52
2024-01-24,58677.86
2024-01-25,59053.21
2024-01-26,59426.48
2024-01-27,59797.58
2024-01-28,60166.4
2024-01-29,60532.84
2024-01-30,60896.83
2024-01-31,61258.24
2024-02-01,61616.99
2024-02-02,61972.99
2024-02-03,62326.13
2024-02-04,62676.32
2024-02-05,63023.46
2024-02-06,63367.45
2024-02-07,63708.21
2024-02-08,64045.62
2024-02-09,64379.6
2024-02-10,64710.05
2024-02-11,65036.86
2024-02-12,65359.96
2024-02-13,65679.23
2024-02-14,65994.58
2024-02-15,66305.91
2024-02-16,66613.13
2024-02-17,66916.14
2024-02-18,67214.85
2024-02-19,67509.15
2024-02-20,67798.95
2024-02-21,68084.16
2024-02-22,68364.67
2024-02-23,68640.4
2024-02-24,68911.23
2024-02-25,69177.09
2024-02-26,69437.86
2024-02-27,69693.46
2024-02-28,69943.78
2024-02-29,70188.73
2024-03-01,70428.22
2024-03-02,70662.14
2024-03-03,70890.4
2024-03-04,71112.9
2024-03-05,71329.55
2024-03-06,71540.25
2024-03-07,71744.9
2024-03-08,71943.41
2024-03-09,72135.67
2024-03-10,72321.6
2024-03-11,72501.09
2024-03-12,72674.06
2024-03-13,72840.39
2024-03-14,73000.0
2024-03-15,73152.82
2024-03-16,73298.88
2024-03-17,73438.28
2024-03-18,73571.07
2024-03-19,73697.34
2024-03-20,73817.15
2024-03-21,73930.59
2024-03-22,74037.72
2024-03-23,74138.61
2024-03-24,74233.35
2024-03-25,74322.0
2024-03-26,74404.65
2024-03-27,74481.35
2024-03-28,74552.19
2024-03-29,74617.24
2024-03-30,74676.58
2024-03-31,74730.27
2024-04-01,74778.39
2024-04-02,74821.02
2024-04-03,74858.23
2024-04-04,74890.08
2024-04-05,74916.67
2024-04-06,74938.05
2024-04-07,74954.31
2024-04-08,74965.51
2024-04-09,74971.73
2024-04-10,74973.05
2024-04-11,74969.53
2024-04-12,74961.26
2024-04-13,74948.3
2024-04-14,74930.73
2024-04-15,74908.62
2024-04-16,74882.05
2024-04-17,74851.09
2024-04-18,74815.81
2024-04-19,74776.29
2024-04-20,74732.6
2024-04-21,74684.81
2024-04-22,74633.0
2024-04-23,74577.25
2024-04-24,74517.62
2024-04-25,74454.19
2024-04-26,74387.03
2024-04-27,74316.22
2024-04-28,74241.82
2024-04-29,74163.93
2024-04-30,74082.59
2024-05-01,73997.91
2024-05-02,73909.93
2024-05-03,73818.74
2024-05-04,73724.42
2024-05-05,73627.03
2024-05-06,73526.66
2024-05-07,73423.36
2024-05-08,73317.22
2024-05-09,73208.31
2024-05-10,73096.71
2024-05-11,72982.49
2024-05-12,72865.71
2024-05-13,72746.46
2024-05-14,72624.82
2024-05-15,72500.84
2024-05-16,72374.61
2024-05-17,72246.2
2024-05-18,72115.68
2024-05-19,71983.13
2024-05-20,71848.62
2024-05-21,71712.23
2024-05-22,71574.02
2024-05-23,71434.08
2024-05-24,71292.47
2024-05-25,71149.28
2024-05-26,71004.56
2024-05-27,70858.4
2024-05-28,70710.88
2024-05-29,70562.05
2024-05-30,70412.01
2024-05-31,70260.81
2024-06-01,70108.54
2024-06-02,69955.27
2024-06-03,69801.07
2024-06-04,69646.02
2024-06-05,69490.19
2024-06-06,69333.65
2024-06-07,69176.48
2024-06-08,69018.75
2024-06-09,68860.53
2024-06-10,68701.9
2024-06-11,68542.94
2024-06-12,68383.71
2024-06-13,68224.29
2024-06-14,68064.75
2024-06-15,67905.17
2024-06-16,67745.61
2024-06-17,67586.17
2024-06-18,67426.9
2024-06-19,67267.88
2024-06-20,67109.18
2024-06-21,66950.89
2024-06-22,66793.07
2024-06-23,66635.79
2024-06-24,66479.13
2024-06-25,66323.17
2024-06-26,66167.97
2024-06-27,66013.61
2024-06-28,65860.17
2024-06-29,65707.72
2024-06-30,65556.33
2024-07-01,65406.07
2024-07-02,65257.02
2024-07-03,65109.26
2024-07-04,64962.85
2024-07-05,64817.87
2024-07-06,64674.39
2024-07-07,64532.49
2024-07-08,64392.25
2024-07-09,64253.73
2024-07-10,64117.0
2024-07-11,63982.15
2024-07-12,63849.25
2024-07-13,63718.36
2024-07-14,63589.57
2024-07-15,63462.94
2024-07-16,63338.56
2024-07-17,63216.48
2024-07-18,63096.8
2024-07-19,62979.58
2024-07-20,62864.89
2024-07-21,62752.81
2024-07-22,62643.42
2024-07-23,62536.78
2024-07-24,62432.97
2024-07-25,62332.06
2024-07-26,62234.13
2024-07-27,62139.26
2024-07-28,62047.5
2024-07-29,61958.95
2024-07-30,61873.66
2024-07-31,61791.73
2024-08-01,61713.21
2024-08-02,61638.18
2024-08-03,61566.72
2024-08-04,61498.91
2024-08-05,61434.8
2024-08-06,61374.48
2024-08-07,61318.03
2024-08-08,61265.51
2024-08-09,61217.0
2024-08-10,61172.57
2024-08-11,61132.29
2024-08-12,61096.25
2024-08-13,61064.51
2024-08-14,61037.15
2024-08-15,61014.23
2024-08-16,60995.85
2024-08-17,60982.06
2024-08-18,60972.94
2024-08-19,60968.56
2024-08-20,60969.01
2024-08-21,60974.35
2024-08-22,60984.65
2024-08-23,61000.0
2024-08-24,61020.44
2024-08-25,61045.97
2024-08-26,61076.57
2024-08-27,61112.2
2024-08-28,61152.85
2024-08-29,61198.48
2024-08-30,61249.07
2024-08-31,61304.61
2024-09-01,61365.05
2024-09-02,61430.38
2024-09-03,61500.57
2024-09-04,61575.6
2024-09-05,61655.43
2024-09-06,61740.06
2024-09-07,61829.44
2024-09-08,61923.56
2024-09-09,62022.38
2024-09-10,62125.89
2024-09-11,62234.06
2024-09-12,62346.87
2024-09-13,62464.28
2024-09-14,62586.27
2024-09-15,62712.83
2024-09-16,62843.91
2024-09-17,62979.51
2024-09-18,63119.58
2024-09-19,63264.11
2024-09-20,63413.08
2024-09-21,63566.45
2024-09-22,63724.2
2024-09-23,63886.3
2024-09-24,64052.74
2024-09-25,64223.48
2024-09-26,64398.51
2024-09-27,64577.78
2024-09-28,64761.29
2024-09-29,64949.0
2024-09-30,65140.89
2024-10-01,65336.93
2024-10-02,65537.1
2024-10-03,65741.38
2024-10-04,65949.73
2024-10-05,66162.13
2024-10-06,66378.56
2024-10-07,66599.0
2024-10-08,66823.41
2024-10-09,67051.77
2024-10-10,67284.06
2024-10-11,67520.24
2024-10-12,67760.31
2024-10-13,68004.22
2024-10-14,68251.96
2024-10-15,68503.5
2024-10-16,68758.82
2024-10-17,69017.88
2024-10-18,69280.67
2024-10-19,69547.15
2024-10-20,69817.31
2024-10-21,70091.12
2024-10-22,70368.55
2024-10-23,70649.58
2024-10-24,70934.18
2024-10-25,71222.33
2024-10-26,71514.0
2024-10-27,71809.17
2024-10-28,72107.8
2024-10-29,72409.89
2024-10-30,72715.39
2024-10-31,73024.29
2024-11-01,73336.56
2024-11-02,73652.18
2024-11-03,73971.11
2024-11-04,74293.34
2024-11-05,74618.84
2024-11-06,74947.58
2024-11-07,75279.54
2024-11-08,75614.7
2024-11-09,75953.02
2024-11-10,76294.49
2024-11-11,76639.07
2024-11-12,76986.75
2024-11-13,77337.49
2024-11-14,77691.27
2024-11-15,78048.07
2024-11-16,78407.86
2024-11-17,78770.62
2024-11-18,79136.32
2024-11-19,79504.93
2024-11-20,79876.44
2024-11-21,80250.81
2024-11-22,80628.02
2024-11-23,81008.04
2024-11-24,81390.85
2024-11-25,81776.43
2024-11-26,82164.74
2024-11-27,82555.77
2024-11-28,82949.48
2024-11-29,83345.86
2024-11-30,83744.88
2024-12-01,84146.51
2024-12-02,84550.72
2024-12-03,84957.5
2024-12-04,85366.81
2024-12-05,85778.63
2024-12-06,86192.94
2024-12-07,86609.71
2024-12-08,87028.92
2024-12-09,87450.53
